,expert_returns,dagger_returns_0,dagger_returns_1,dagger_returns_2,dagger_returns_3,dagger_returns_4,dagger_returns_5,dagger_returns_6,dagger_returns_7,dagger_returns_8,dagger_returns_9,dagger_returns_10,dagger_returns_11,dagger_returns_12,dagger_returns_13,dagger_returns_14,dagger_returns_15,dagger_returns_16,dagger_returns_17,dagger_returns_18,dagger_returns_19
0,3904.6067185551924,3750.584629094533,3817.4224205351256,3932.7396351042025,3566.532832507196,3674.6647287803535,3944.7271753101913,3764.248092256919,3657.549927483892,3515.6257208845163,3752.1938977313903,3383.1512883950413,3680.309487232518,3813.53093724071,3503.2864685684353,3699.726642553317,3610.795929963335,3584.7025851730195,3742.9045457406723,3586.4181549025107,3798.223407836063
1,4044.885713519757,3721.1159241053897,3801.502183461096,3659.767117767156,3617.5778284526828,3682.8812642558682,3598.837977394491,3824.22612279941,3683.8322524291034,3804.6433952683597,3681.24342955089,3605.2141211107037,3677.2478436423658,3491.479494714726,3732.145102193871,3659.734154679341,3619.896868923232,3638.4205991571976,3586.2520785305933,3771.979194533773,3807.8352189158722
2,4224.792210223213,3654.9407554357863,3551.485810552281,3365.812683134634,62.96340161141805,3485.463846738673,3827.984624945739,3745.6528440648967,3821.4475744291085,3640.9572423937216,3363.412934750526,3724.555492077539,3570.186043130714,3673.571919500226,3622.470564702415,3609.923610876569,3743.469483938997,3657.0035076417166,3707.350109909192,3601.7104671117486,3433.804825596988
3,3992.0274474921403,3579.563910571169,3596.8129990543157,3745.018541383238,242.3073750768464,3651.92072777065,3693.040849531166,3738.0113052063925,3670.2651326516734,3630.8427865479225,3464.7815434489007,3571.881771655124,3696.9033182113944,3679.1869415969804,3716.7133965852395,3434.8916114523386,3870.331759301009,1005.8381798730958,3635.0593359525883,3684.7687320225423,3694.249648855134
4,4019.609841309838,3667.724825405952,1581.2426110839092,3482.1668200723925,3620.2759223486282,3630.1544266684127,3815.6965461794407,3752.4574714248624,3560.3347290984,3537.668320143284,3668.266235185009,3597.3137151450564,3623.013442767159,3721.1979182139335,3528.376945152031,3826.547412089608,3757.0944171440588,3602.7954213811836,3615.5068589913176,3749.0770017222235,3781.1300006617157
5,4177.364690883551,3590.539830344383,1384.6894323795798,3243.372392217939,2563.0896214221984,3135.626630494631,410.24439792379025,3865.562689497185,3633.9733048073977,3705.516838807178,3654.453066735816,3420.4159937036657,3610.462268762133,3703.8944368800803,3527.938572214715,3442.4222646901167,3727.4560778921896,3630.057129109442,3727.60856374845,3710.7749166659546,3773.8481439526513
6,4071.4223878651046,3760.555884125232,2190.51423484012,3366.4496573157685,2655.2855238521192,1557.445567252853,3794.9922592168737,3712.5785743450847,3698.458066731524,3602.385887102085,3466.7802402990346,3547.337534892529,3613.86572860958,3854.9330439200353,3765.2473121027333,3674.963909401117,3408.5774332402616,3753.092102922319,3364.1737538287,3739.962264056484,3509.342140856107
7,4094.2716755692436,3696.5086108635733,90.99378075170374,3391.0427555688784,3709.157597753112,4026.12151392792,3848.7663491268845,3841.5902181252914,3765.457294219789,3403.004767686752,3882.988008015711,3559.2870403552492,3508.401532246527,3581.566347189949,3727.5010898930004,3810.444271547994,3498.3943533690544,3580.7773997823206,3498.366856848436,3759.8345655425815,3751.693665488265
8,4220.775164731252,3743.390041715755,3676.073292742585,3423.8145183136194,3559.4805963027306,3732.271374680303,3763.6567684626743,3954.5294734677454,3596.890330012586,3368.6802386199397,3781.417140830579,3646.4467227494933,3593.899833525759,3536.42313896445,3605.874022442142,3296.0137644718516,3619.5868374922115,3747.0254699587595,3794.914528242558,3825.0538862003577,3728.5160023129224
9,4224.819916362499,3664.349092721466,2403.610620605764,3730.2267535162273,3756.2766805880806,3455.027398251841,3899.014838954854,3712.339336085256,3903.5934285628737,3513.655609077019,3879.8643507946126,3454.7370644636794,3663.3426018205237,3760.834358633463,3642.8391524487347,3698.332541110794,3544.892066576339,3857.015643758631,3712.836510868212,3825.223279497758,3687.785388484609
