,expert_returns,dagger_returns_0,dagger_returns_1,dagger_returns_2,dagger_returns_3,dagger_returns_4,dagger_returns_5,dagger_returns_6,dagger_returns_7,dagger_returns_8,dagger_returns_9,dagger_returns_10,dagger_returns_11,dagger_returns_12,dagger_returns_13,dagger_returns_14,dagger_returns_15,dagger_returns_16,dagger_returns_17,dagger_returns_18,dagger_returns_19
0,-3.0203622451174152,-4.8168595386256925,-379.867170942748,-6.6396520417931955,-8.594137499850119,-2.7311687398105664,-9.675161762407104,-4.948672338367846,-20.557727101857886,-5.664437180270617,-4.669427870329401,-4.725256752447837,-3.505529707534956,-10.83114517619019,-14.614773135661054,-17.506532866220606,-14.462953582444337,-12.456055602258509,-10.160893726704353,-6.986751036057296,-6.606544106372717
1,-2.1944147571574995,-5.67398050611362,-9.415191026232161,-5.163089252684442,-11.120221092139204,-4.7089332085671325,-5.282166110113254,-8.979114863813257,-6.113321644458309,-5.030746087697409,-5.615441774224715,-17.389834920032918,-7.327866336206843,-10.145544779039486,-16.170589042911807,-2.304585338352605,-13.094894922792783,-4.344861215260271,-13.356172937126486,-6.794372111372303,-7.5498892847793835
2,-6.668260738315737,-13.155842099561484,-281.0134567956206,-12.691695589643295,-7.7464864108226745,-9.922358786649573,-11.56415852495985,-11.835909835997489,-10.193228997311802,-7.826302096177921,-6.641712210177137,-6.64109665758264,-12.158055736972939,-4.784855410072465,-12.580739307006171,-7.656351218568845,-8.96389633656739,-11.492381150110209,-15.194231225179635,-6.108443361806721,-11.05426795674209
3,-6.323057957724733,-16.855255097105015,-240.66038804032183,-6.847979740387232,-6.399555062579468,-6.6517261156877066,-8.558502048595944,-10.575823432606104,-13.673335025810164,-5.315234218144978,-9.119332936351393,-13.347278542995506,-8.313211390919555,-7.8998676712364615,-11.717995341448843,-15.115800631383912,-6.833891651222337,-11.63974216159734,-17.644574793895497,-13.544396423239935,-10.401152730575587
4,-2.408960532891556,-18.764882105575364,-3.9095378803690926,-10.449522504911517,-4.769949792785921,-12.527077257637533,-14.411675236262987,-9.57755248605721,-5.049657141182076,-10.920349743454015,-7.492719016464073,-12.299230252985438,-8.609158159266975,-9.096072600508338,-6.417253298205955,-3.1033045383295192,-2.5696819233223898,-9.909693475391126,-2.7270721152307478,-9.70627997865276,-2.7374214073972065
5,-3.81767278108027,-5.565921449604445,-2.0103052362418117,-13.216814477448441,-4.947285443901753,-10.341788606037083,-8.977258667427474,-6.118405714179637,-21.230888997211878,-5.416453490932739,-12.297934372811115,-12.074142323098485,-7.425990960502033,-8.708646174728626,-12.27756356078006,-9.77952806961959,-4.517986120000027,-5.969054448806648,-1.9214380845437626,-8.090805689601746,-11.970311873045143
6,-2.8697026356753046,-15.52394757264522,-19.29143835587038,-9.860324429249358,-8.478935856116122,-10.684306704827284,-12.12150794273473,-9.346664087143674,-5.299839392822603,-5.998026434969647,-6.968182586512095,-8.419364415636123,-5.985481010399013,-10.53564433978689,-4.583174705748583,-1.4230582457251804,-5.8304013239601185,-14.565723013244465,-4.853147562892201,-6.953832657107257,-15.792305616478714
7,-3.477481522131997,-3.1765668017893716,-19.507489340220168,-14.210126946298463,-16.102461846133018,-9.063234407835974,-13.110745339269506,-21.625869953889566,-10.710641203899097,-2.580655460876352,-5.014039891231418,-15.568390456202167,-8.460804249732574,-7.888881026726129,-17.433039867137776,-8.986726865689532,-2.9352173048549925,-12.520888548754778,-7.732986522046607,-5.150130101157734,-8.406488990261574
8,-2.8343429335976844,-3.983717049374669,-9.956689159043583,-9.669223356516271,-9.531357483758283,-4.409535384925586,-3.1434015676180547,-12.489802422447601,-1.8263245353171045,-6.544304058925013,-4.234445875161234,-10.7281978915819,-4.657767133443192,-10.409621255987117,-12.437002529399273,-7.887195455258485,-7.605922340859211,-13.803175754474346,-4.777980393512896,-8.28205284961966,-4.88499980204076
9,-3.640880065106634,-9.365125540484959,-10.43311557473492,-12.821908624458777,-7.258508733946333,-11.401757434722379,-12.422242759877836,-4.6484040885913895,-7.681086087972192,-5.0040256800145935,-17.18696902182883,-5.043216677304511,-12.53337899110577,-15.927061424781115,-10.131984790437572,-13.858857329439271,-11.719089143544508,-7.70761360510603,-7.03863156790116,-5.693402902115219,-14.41801721990202
10,-1.0355117611906728,-18.218291821578003,-15.647318341029877,-10.52690665339494,-13.04857296557978,-16.678609040866988,-5.857346154448389,-12.180495714851533,-4.681969416605587,-6.66212922381768,-6.265224736460494,-19.931134229484943,-7.367929199747408,-6.233980361109374,-7.496165352411217,-3.0005311939464727,-17.244203063493615,-13.283933552568405,-9.309621376385254,-7.946338592981263,-4.544843444591934
11,-2.5586358863351033,-4.349705593226472,-9.699419693572406,-10.756726080016872,-13.872362433021532,-7.110678367059394,-3.7853835935965474,-4.547032736275905,-17.037970398713252,-15.52433654531586,-6.442105151051795,-6.571338428868581,-11.7833465023071,-6.677990592288962,-12.456324577033026,-3.458272264727664,-7.159267385880596,-15.980794979918509,-5.383271021829553,-11.126188040325564,-13.49719375225345
12,-9.022249843227568,-16.26974521856084,-9.204969691161573,-17.607164298052727,-5.288123482400492,-11.559767481808397,-2.824603602376785,-2.891871944980595,-2.2565306534827396,-10.684598778974754,-5.4966434263140895,-4.557072205105383,-15.335834031590787,-8.050156140277396,-8.836604181564567,-10.431622251045969,-6.259587649954839,-7.334823691903146,-6.045857889168679,-12.480166187987777,-7.322900471698818
13,-5.142932572231502,-3.3742446622545588,-10.678827306615934,-10.951979147262538,-7.247284589566344,-9.138178568242218,-17.84630518912767,-9.439074535488949,-12.487574742448212,-13.031140130999669,-4.25976453229983,-8.844750216535454,-7.71048914099191,-13.613463947062286,-8.82368718051513,-8.531921283348543,-11.679527947746514,-6.560762477814992,-5.5409409748663,-11.857212632421913,-6.612817004331882
14,-2.0175277297979792,-8.919298592026252,-334.5156569555886,-4.330766741826345,-11.981990655968161,-14.008903052369629,-10.990418090745573,-15.415826319023138,-5.174189618773807,-15.456251224679912,-9.068994497701082,-11.802402382521455,-9.023353791743219,-10.848324253689265,-6.886113459677623,-6.6204134405387345,-6.6572347240981316,-8.184787577013632,-7.218320091300716,-15.956073070503706,-11.455911753683298
15,-4.837345293529783,-3.1617906921908845,-12.40065901745661,-3.66028997827885,-4.947060787662697,-11.53100667946119,-15.295342560998737,-9.083118557517405,-11.939763500577794,-3.3205740564061332,-8.604011634105253,-10.82287070087856,-4.5449874585253305,-8.273668274118366,-7.013234368809332,-17.76954875432269,-3.1659951798766826,-16.738570202985553,-3.5625699890892464,-4.279079782003672,-11.498709452757998
